GW_CSA_AAA,Усиленный патруль безопасности
TEXT_STORY_MISSION_ERIADU,Владелец миссии: Администрация Эриаду
TEXT_STORY_MISSION_IMPERIAL_PROTEUS,Владелец миссии: Малые военачальники
TEXT_STORY_MISSION_MALDROOD,Владелец миссии: Большой Малдруд
TEXT_STORY_MISSION_NR,Владелец миссии: Новая Республика
TEXT_STORY_MISSION_PENTASTAR,Владелец миссии: Pentastar Alignment
TEXT_STORY_MISSION_ZSINJ,Владелец миссии: Империя Зинджа
TEXT_STORY_NEWREP_HINTS,Подсказки Новой Республики
TEXT_STORY_SHADOWHAND_CORUSCANT_1,Гарм Бел Иблис: Флот, приближающийся к Корусанту, является самым большим, который мы когда-либо видели. По оценкам Intel, мы не продержимся и ночи, если попытаемся продержаться.
TEXT_STORY_SHADOWHAND_CORUSCANT_2,Мы не хотим, чтобы Корусант был разрушен, хотя все, чего хочет Империя, — это уничтожить нас. Как только мы покинем планету, население будет в безопасности.
TEXT_STORY_SHADOWHAND_CORUSCANT_3,Последние несколько человек на планете сейчас садятся в свои транспорты. Нам нужно выиграть им несколько минут, тогда мы тоже сможем уйти отсюда.
TEXT_STORY_SHADOWHAND_CORUSCANT_RETREAT,Гарм Бел Иблис: Последний транспорт ушёл. Пора идти. Этот день принадлежит Империи, а завтра посмотрим...
TEXT_STORY_TRANSMISSION_AAC3_OBJECTIVE,Изучите ховертанк AAC-3 в меню политических опций.
TEXT_STORY_TRANSMISSION_AAC3_RESEARCH,Представитель СороСууб: Мы начали работу над более мощной версией ховертанка AAC. Проект столкнулся с некоторыми трудностями, но при поддержке Сената их, несомненно, можно преодолеть.
TEXT_STORY_TRANSMISSION_AAC3_REWARD_ONE,Открывает: Ховертанк AAC-3.
TEXT_STORY_TRANSMISSION_AAC3_REWARD_TWO,Замки: AAC-2 Hovertank
TEXT_STORY_TRANSMISSION_AAC3_TITLE,Исследования - Ховертанк AAC-3
TEXT_STORY_TRANSMISSION_ACKBAR,Входящее сообщение от адмирала Акбара
TEXT_STORY_TRANSMISSION_ADALRIC_BRANDL,Входящее сообщение от Адальрика Брандла
TEXT_STORY_TRANSMISSION_BORGA,Входящее сообщение от Борга Бесади Диори.
TEXT_STORY_TRANSMISSION_BORVO,Входящее сообщение от Борво Хатта
TEXT_STORY_TRANSMISSION_BOTHAWUI,Входящая передача с верфей Ботавуи
TEXT_STORY_TRANSMISSION_CORONA_OBJECTIVE,Исследуйте фрегат «Корона» в меню политических опций Куата.
TEXT_STORY_TRANSMISSION_CORONA_RESEARCH,Представитель KDY: Мы в Kuat Drive Yards разрабатываем новый класс фрегатов, который придет на смену нашему почтенному фрегату «Небулон-Б». Хотя мы не можем гарантировать, что ваши силы будут иметь к нему эксклюзивный доступ, мы хотели бы предложить взаимовыгодную инвестиционную возможность, которая позволит вашим верфям производить его.
TEXT_STORY_TRANSMISSION_CORONA_REWARD_ONE,Открывает: Корона
TEXT_STORY_TRANSMISSION_CORONA_REWARD_TWO,Замки: Небулон-Б
TEXT_STORY_TRANSMISSION_CORONA_TITLE,Исследования - Корона Фрегат
TEXT_STORY_TRANSMISSION_DAALA,Входящее сообщение от Натаси Даалы
TEXT_STORY_TRANSMISSION_DARK_APPRENTICE,Входящее сообщение от Темного Ученика
TEXT_STORY_TRANSMISSION_DELVARDUS,Входящее сообщение от Сандера Делвардуса
TEXT_STORY_TRANSMISSION_DURGA,Входящая передача от Дурги Бесади Тай
TEXT_STORY_TRANSMISSION_EMPEROR_PALPATINE,Входящее сообщение от Императора Палпатина
TEXT_STORY_TRANSMISSION_ERRANT_VENTURE_OBJECTIVE,Отнесите «Странствующее предприятие» в любую столицу или на верфь дредноута для ремонта.
TEXT_STORY_TRANSMISSION_ERRANT_VENTURE_REWARD,Восстанавливает Errant Venture до стандартного вооружения ISD-II и придает ему новую блестящую окраску.
TEXT_STORY_TRANSMISSION_ERRANT_VENTURE_UPGRADE_TITLE,Обновление — Странствующее предприятие
TEXT_STORY_TRANSMISSION_GAVRISOM,Входящая передача от Понца Гаврисома
TEXT_STORY_TRANSMISSION_GORATH_OBJECTIVE,Исследуйте ударный крейсер Гората в меню политических опций.
TEXT_STORY_TRANSMISSION_GORATH_RESEARCH,Представитель Лоронара: Наша компания недавно разработала новый вариант ударного крейсера. Его пробный запуск в Deep Core уже оказался успешным, и за небольшие инвестиции с вашей стороны мы были бы рады запустить его в массовое производство для вашего использования.
TEXT_STORY_TRANSMISSION_GORATH_REWARD_ONE,Открывает: ударный крейсер Гората.
TEXT_STORY_TRANSMISSION_GORATH_REWARD_TWO,Замки: Ударный Крейсер
TEXT_STORY_TRANSMISSION_GORATH_TITLE,Исследования — ударный крейсер Гората
TEXT_STORY_TRANSMISSION_HAN_SOLO,Входящее сообщение от Хана Соло
TEXT_STORY_TRANSMISSION_HARRSK,Входящее сообщение от Блитцера Харрска.
TEXT_STORY_TRANSMISSION_HISSA,Входящее сообщение от Бертроффа Хиссы
TEXT_STORY_TRANSMISSION_ISARD,Входящее сообщение от Исанн Айсард
TEXT_STORY_TRANSMISSION_ISARD_HISSA,Входящее сообщение от Исанн Айсард и Бертроффа Хиссы.
TEXT_STORY_TRANSMISSION_JAX,Входящее сообщение от Карнора Джакса
TEXT_STORY_TRANSMISSION_KAINE,Входящее сообщение от гранд-моффа Кейна.
TEXT_STORY_TRANSMISSION_KARRDE,Incoming Transmission from Talon Karrde
TEXT_STORY_TRANSMISSION_KOSH,Входящее сообщение от Кош Терадока
TEXT_STORY_TRANSMISSION_KRIN,Входящее сообщение от Анжелы Крин.
TEXT_STORY_TRANSMISSION_LANDO,Входящее сообщение от Лэндо Калриссиана.
TEXT_STORY_TRANSMISSION_LANKIN,Входящее сообщение от Пара Ланкина
TEXT_STORY_TRANSMISSION_LEIA,Входящее сообщение от принцессы Леи.
TEXT_STORY_TRANSMISSION_MAKATI,Входящее сообщение от Афшина Макати.
TEXT_STORY_TRANSMISSION_MC_HEAVY_CARRIER_OBJECTIVE,Изучите тяжелый авианосец Мон-Каламари в меню политических опций на Мон-Каламари.
TEXT_STORY_TRANSMISSION_MC_HEAVY_CARRIER_RESEARCH,Представитель Мон-Каламари: Недавно мы начали разработку нового типа авианосца, способного выстоять в бою, используя при этом огромное количество истребителей. Если бы Сенат удалось убедить инвестировать в это, мы могли бы начать производство как можно скорее.
TEXT_STORY_TRANSMISSION_MC_HEAVY_CARRIER_REWARD,Открывает: Тяжелый авианосец Мон-Каламари.
TEXT_STORY_TRANSMISSION_MC_HEAVY_CARRIER_TITLE,Исследования - Тяжелый авианосец Мон-Каламари
TEXT_STORY_TRANSMISSION_MCS,Входящая передача с верфей Мон Каламари
TEXT_STORY_TRANSMISSION_MEDIATOR_OBJECTIVE,Исследуйте Посредника из Мон-Каламари.
TEXT_STORY_TRANSMISSION_MEDIATOR_RESEARCH,Представитель Мон-Каламари: Наши инженеры были вдохновлены проектом «Виконт» и хотели бы представить Республике еще одну новую концепцию военного корабля: мы называем его «Посредник». Это линейный крейсер, призванный заменить устаревший дизайн Home One; Предварительные характеристики указывают на то, что он сможет уничтожить в прямом бою все, кроме Звездного Дредноута.
TEXT_STORY_TRANSMISSION_MEDIATOR_REWARD_ONE,Открывает: боевой крейсер «Посредник».
TEXT_STORY_TRANSMISSION_MEDIATOR_REWARD_TWO,Замки: MC80 Home One Type, линейный крейсер Bulwark-III.
TEXT_STORY_TRANSMISSION_MEDIATOR_TITLE,Исследования — Боевой крейсер «Посредник»
TEXT_STORY_TRANSMISSION_MOFF,Входящее сообщение от Моффа
TEXT_STORY_TRANSMISSION_MON_MOTHMA,Входящее сообщение от Мон Мотмы
TEXT_STORY_TRANSMISSION_NCMP1_OBJECTIVE,Изучите проект модернизации нового класса в меню политических опций.
TEXT_STORY_TRANSMISSION_NCMP1_RESEARCH,Республиканский инженерный представитель: Вооруженные силы Новой Республики выразили заинтересованность в разработке новой серии кораблей, которые либо будут выполнять новые функции, либо заменят старые конструкции, использовавшиеся со времен раннего Альянса. На начальном этапе этого проекта рассматриваются только фрегаты меньшего размера, хотя, если он окажется успешным, наша компания может начать работу над более крупными кораблями.
TEXT_STORY_TRANSMISSION_NCMP1_REWARD_ONE,Открывает: Сачин, Хаджен, Корона, Беларусь.
TEXT_STORY_TRANSMISSION_NCMP1_REWARD_TWO,Замки: Небулон-Б, Поддержка Небулона-Б.
TEXT_STORY_TRANSMISSION_NCMP1_TITLE,Проект модернизации нового класса – первый этап
TEXT_STORY_TRANSMISSION_NCMP2_OBJECTIVE,Изучите проект модернизации нового класса в меню политических опций.
TEXT_STORY_TRANSMISSION_NCMP2_RESEARCH,Республиканский инженерный представитель: Успех первоначальной программы «Новый класс» поддержал наши усилия по созданию совершенно новых типов кораблей, которые помогут расслоить флот Новой Республики. Эта часть программы будет включать в себя несколько фрегатов, а также специальные авианосцы и капиталы, которые будут вооружены и оснащены, чтобы противостоять худшему, что может предложить галактика.
TEXT_STORY_TRANSMISSION_NCMP2_REWARD_ONE,Разблокирует: Агаву, Воина, Величественность, Носителя-защитника, Небулу, Выносливость.
TEXT_STORY_TRANSMISSION_NCMP2_REWARD_THREE,Замки: CR90, DP20, Квазар, Освободитель.
TEXT_STORY_TRANSMISSION_NCMP2_REWARD_TWO,Командный состав: дополнительный слот для офицеров флота.
TEXT_STORY_TRANSMISSION_NCMP2_TITLE,Проект модернизации нового класса – второй этап
TEXT_STORY_TRANSMISSION_ODUMIN,Входящее сообщение от Одумина
TEXT_STORY_TRANSMISSION_ORDER,Входящая передача из Палаты Порядка
TEXT_STORY_TRANSMISSION_PANAKA,Входящая передача от Куарша Панаки
TEXT_STORY_TRANSMISSION_PARCK,Входящая передача из Восс Парка
TEXT_STORY_TRANSMISSION_PARELLA,Входящее сообщение от Пареллы Джираммы Бако.
TEXT_STORY_TRANSMISSION_PELLAEON,Входящее сообщение от Гилада Пеллеона.
TEXT_STORY_TRANSMISSION_PESTAGE,Входящая передача от Сейта Пестажа
TEXT_STORY_TRANSMISSION_REC,Входящая передача от Republic Engineering Corp.
TEXT_STORY_TRANSMISSION_REPUBLIC_STAR_DESTROYER_OBJECTIVE,Исследуйте республиканский звездный разрушитель в меню политических опций.
TEXT_STORY_TRANSMISSION_REPUBLIC_STAR_DESTROYER_RESEARCH,Валекс Блиссекс: Приветствую, командир, это Валекс Блиссекс. Недавно я сотрудничал с корабелами Мон-Каламари в разработке нового класса капитальных кораблей. План Верховного командования состоит в том, чтобы объявить это проектом Рендили StarDrive в небольшом политическом театре, чтобы отвратить Рендили от Империи. Я надеюсь, что этот класс послужит конкурентом проектам звездных разрушителей моей дочери и поможет гораздо быстрее положить конец Империи.
TEXT_STORY_TRANSMISSION_REPUBLIC_STAR_DESTROYER_REWARD,Открывает: Республиканский звездный разрушитель.
TEXT_STORY_TRANSMISSION_REPUBLIC_STAR_DESTROYER_TITLE,Исследования — Республиканский звездный разрушитель
TEXT_STORY_TRANSMISSION_SHIP_RESEARCH,Доступны новые исследования кораблей
TEXT_STORY_TRANSMISSION_SHIP_RESEARCH_OBJECTIVE,Чтобы начать исследование, создайте новый вариант исследования на вкладке «Исследование/политические варианты» на любой планете.
TEXT_STORY_TRANSMISSION_SLOANE,Входящее сообщение от Баруша Слоана.
TEXT_STORY_TRANSMISSION_SOONTIR_FEL,Входящее сообщение от Сунтира Фела
TEXT_STORY_TRANSMISSION_SOROSUUB,Входящая передача от СороСууб
TEXT_STORY_TRANSMISSION_SPAAR,Входящее сообщение от Нила Спаара
TEXT_STORY_TRANSMISSION_TAA,Входящее сообщение от Таа Чуме
TEXT_STORY_TRANSMISSION_TARKIN,Входящее сообщение от гранд-моффа Таркина.
TEXT_STORY_TRANSMISSION_TENENIEL,Входящее сообщение от Тенениэль Дьо.
TEXT_STORY_TRANSMISSION_TERADOC,Входящее сообщение от Тройтен-Терадока
TEXT_STORY_TRANSMISSION_THRAWN,Входящее сообщение от гранд-адмирала Трауна.
TEXT_STORY_TRANSMISSION_VIQI,Входящее сообщение от Вики Шеш
TEXT_STORY_TRANSMISSION_VISCOUNT_OBJECTIVE,Найдите виконта из Мон-Каламари.
TEXT_STORY_TRANSMISSION_VISCOUNT_RESEARCH,Адмирал Акбар: Существование каких-либо оставшихся звездных дредноутов среди врагов Новой Республики — один из моих самых больших страхов. Чтобы противостоять такой угрозе, я предлагаю новый класс «Звездного защитника», способный противостоять любому из оставшихся военных кораблей. Верфи моей родной планеты уже проявили к этому интерес и при вложении средств военных готовы разработать схемы и прототип для проверки концепции.
TEXT_STORY_TRANSMISSION_VISCOUNT_REWARD_ONE,Завершение этого исследования предоставит вам бесплатный прототип виконта.
TEXT_STORY_TRANSMISSION_VISCOUNT_REWARD_TWO,Открывает: Звездный защитник виконта.
TEXT_STORY_TRANSMISSION_VISCOUNT_TITLE,Исследования - Виконт Звездный защитник
TEXT_STORY_TRANSMISSION_WEPLINN,Входящая передача от Ильма Ваз-Веплинна
TEXT_STORY_TRANSMISSION_YZU,Входящая передача от Малфкла Изу
TEXT_STORY_TRANSMISSION_ZORBA,Входящее сообщение от Зорбы Десилиджика Тиуре
TEXT_STORY_TRANSMISSION_ZSINJ,Входящее сообщение от полководца Зинджа
TEXT_STORYOBJECT_CBAOTH_BLUFF,Супероружие, пробивающее щит
TEXT_STORYOBJECT_RYLCA,Исследование препарата Критос
TEXT_STORYOBJECT_RYLCA_FINAL,Рилка
TEXT_STORYOBJECT_RYLLKOR,Соберите урожай Рилл Кор
TEXT_STORYOBJECT_THRAWN_RUMORS,Искать Трауна
TEXT_STORYOBJECT_YONKA_BRIBE,Подход Выход Ёнка
TEXT_STRUCTURE_PIRATE_BUILDABLE_BACTA_TANK_UC,Глупый EaW
TEXT_STRUCTURE_PIRATE_BUILDABLE_REPAIR_FACILITY_UC,Глупый EaW
TEXT_STRUCTURE_TURRET_TORP,Огненная турель
TEXT_SUPER_TIE_SQUADRON,Супер СИД-эскадрон
TEXT_SUPER_TIE_SQUADRON_HALF,Супер СИД-эскадрон 1/2
TEXT_SUPER_TIE_SQUADRON2,Супер СИД-эскадрон x2
TEXT_SURVIVAL_BOONTA_FLEET_SHIP_1,Джувард Фрегат
TEXT_SURVIVAL_BOONTA_FLEET_SHIP_10,Разрушитель Вонтора
TEXT_SURVIVAL_BOONTA_FLEET_SHIP_11,Разрушитель Карабос
TEXT_SURVIVAL_BOONTA_FLEET_SHIP_12,Военный корабль Дор'буллы
TEXT_SURVIVAL_BOONTA_FLEET_SHIP_2,Коссак Фрегат
TEXT_SURVIVAL_BOONTA_FLEET_SHIP_3,Фрегат Бараббула
TEXT_SURVIVAL_BOONTA_FLEET_SHIP_4,Таррада Фрегат
TEXT_SURVIVAL_BOONTA_FLEET_SHIP_5,Убриккийский крейсер
TEXT_SURVIVAL_BOONTA_FLEET_SHIP_6,Буря Крейсер
TEXT_SURVIVAL_BOONTA_FLEET_SHIP_7,Батиль Перевозчик
TEXT_SURVIVAL_BOONTA_FLEET_SHIP_8,Саджин Крейсер
TEXT_SURVIVAL_BOONTA_FLEET_SHIP_9,Разрушитель Карагга
TEXT_SURVIVAL_DEFENCE_STATION_EPINEIO,Оборонительная станция | Станция Эпинео
TEXT_SURVIVAL_DEFENCE_STATION_ETYMOS,Оборонительная станция | Станция Этимос
TEXT_SURVIVAL_DEFENCE_STATION_GOLAN_THREE,Оборонительная станция | Голаны-III
TEXT_SURVIVAL_DEFENCE_STATION_IERO,Оборонительная станция | Станция Иеро
TEXT_SURVIVAL_DEFENCE_STATION_MERIDIAN_I,Оборонительная станция | Станция Меридиан-I
TEXT_SURVIVAL_DEFENCE_STATION_MERIDIAN_II,Оборонительная станция | Станция Меридиан-II
TEXT_SURVIVAL_DEFENCE_STATION_MERIDIAN_III,Оборонительная станция | Станция Меридиан-III
TEXT_SURVIVAL_DEFENCE_STATION_MERIDIAN_IV,Оборонительная станция | Станция Меридиан-IV
TEXT_SURVIVAL_DEFENCE_STATION_TEICHOS,Оборонительная станция | Станция Тейхос
TEXT_SURVIVAL_DEFENCE_STATION_VALOR,Оборонительная станция | Станция класса «Доблесть»
TEXT_SURVIVAL_DEFENCE_STATION_VISVIA,Оборонительная станция | Станция Висвиа
TEXT_SWARM_DROID_SQUADRON,Ройовая эскадрилья боевых дроидов
TEXT_SWARM_DROID_SQUADRON_HALF,Эскадрилья боевых дроидов «Рой» 1/2
TEXT_SWARM_DROID_SQUADRON2,Эскадрилья боевых дроидов «Рой» x2
TEXT_SYCA_SQUADRON,Бомбардировочная эскадрилья «Сика»
TEXT_SYCA_SQUADRON_HALF,Бомбардировочная эскадрилья «Сика» 1/2
TEXT_SYCA_SQUADRON2,Бомбардировочная эскадрилья «Сика» x2
TEXT_T_WING_SQUADRON,Т-образная эскадрилья
TEXT_T_WING_SQUADRON_HALF,Т-образная эскадрилья 1/2
TEXT_T_WING_SQUADRON2,Т-образная эскадрилья x2
TEXT_TECH_TREE_HAPAN_HOUSE_ALTERNATE_SHIPYARD,Хапанские дома
TEXT_TECH_TREE_HAPAN_HOUSE_SHIPYARD,Верфь Hapan House
TEXT_TECH_TREE_HAPAN_HOUSES,Хапанские дома .
TEXT_TECH_TREE_SHIPMARKET,Судовой рынок
TEXT_TECH_TREE_SHIPMARKET_WARNING,Список всех возможных юнитов, которые можно приобрести на рынке кораблей, а также их частота появления доступны в руководстве ОБЗОР ПРАВИТЕЛЬСТВА ФРАКЦИИ. На планетах может быть верфь или рынок кораблей, но не то и другое.
TEXT_THRAWN_GREY_WOLF_DEFEAT_PARCK_ALIVE,Траун: Неуклюже... Слишком неуклюже. Серый Волк потерян, а я тяжело ранен. Адмирал Парк примет командование, пока я прихожу в себя и размышляю над своими ошибками.\n
TEXT_THRAWN_GREY_WOLF_DEFEAT_PARCK_DEAD,Траун: Неуклюже... Слишком неуклюже. Серый Волк потерян, а я тяжело ранен. Наша миссия имеет первостепенное значение и должна продолжаться, пока я выздоравливаю и размышляю над своими ошибками.
TEXT_THRAWN_LEAVES_HAND_PARCK_ALIVE,Траун: Я получил известие, что Империя находится в кризисе. Хотя мне больно оставлять нашу миссию здесь незавершенной, адмирал Парк пользуется моим абсолютным доверием. Подчиняйся ему, как ты подчиняешься мне. Прощайте.\n
TEXT_THRAWN_LEAVES_HAND_PARCK_DEAD,Траун: Я получил известие, что Империя находится в кризисе. Я должен немедленно уйти, если Империя хочет выжить. В мое отсутствие продолжайте нашу миссию в меру своих возможностей. Прощание.
TEXT_TIE_AGGRESSOR_SQUADRON,Эскадрилья TIE-агрессор
TEXT_TIE_AGGRESSOR_SQUADRON_HALF,TIE-эскадрилья «Агрессор» 1/2
TEXT_TIE_AGGRESSOR_SQUADRON2,Эскадрилья TIE «Агрессор» x2
TEXT_TIE_AVENGER_SQUADRON,TIE Эскадрилья «Мститель»
TEXT_TIE_AVENGER_SQUADRON_HALF,TIE Эскадрилья «Мститель» 1/2
TEXT_TIE_AVENGER_SQUADRON2,TIE Эскадрилья «Мститель» x2
TEXT_TIE_DEFENDER_SQUADRON,TIE Защитная эскадрилья
TEXT_TIE_DEFENDER_SQUADRON_HALF,TIE Защитная эскадрилья 1/2
TEXT_TIE_DEFENDER_SQUADRON2,TIE Защитная эскадрилья x2
TEXT_TIE_DROID_SQUADRON,Эскадрилья TIE-дроидов
TEXT_TIE_DROID_SQUADRON_HALF,Эскадрилья TIE-дроидов 1/2
TEXT_TIE_DROID_SQUADRON2,Эскадрилья TIE-дроидов x2
TEXT_TIE_GT_SQUADRON,TIE/ГТ-эскадрилья
TEXT_TIE_GT_SQUADRON_HALF,TIE/gt эскадрилья 1/2
TEXT_TIE_GT_SQUADRON2,TIE/ГТ-эскадрилья x2
TEXT_TIE_INTERCEPTOR_SQUADRON,Эскадрилья TIE-перехватчиков
TEXT_TIE_INTERCEPTOR_SQUADRON_HALF,Эскадрилья TIE-перехватчиков 1/2
TEXT_TIE_INTERCEPTOR_SQUADRON2,Эскадрилья TIE-перехватчиков x2
TEXT_TIE_LIGHTDUTY_SQUADRON,Легкая эскадрилья TIE
TEXT_TIE_LIGHTDUTY_SQUADRON_HALF,TIE Легкая эскадрилья 1/2
TEXT_TIE_LIGHTDUTY_SQUADRON2,Легкая эскадрилья TIE x2
TEXT_TIE_OPPRESSOR_SQUADRON,TIE-эскадрилья «Угнетатель»
TEXT_TIE_OPPRESSOR_SQUADRON_HALF,TIE-эскадрилья «Угнетатель» 1/2
TEXT_TIE_OPPRESSOR_SQUADRON2,TIE Эскадрилья угнетателей x2
TEXT_TIE_PHANTOM_SQUADRON,СИД-призрачная эскадрилья
TEXT_TIE_PHANTOM_SQUADRON_HALF,TIE «Фантомная эскадрилья» 1/2
TEXT_TIE_PHANTOM_SQUADRON2,TIE Фантомная эскадрилья x2
TEXT_TIE_RAPTOR_SQUADRON,Эскадрилья TIE «Раптор»
TEXT_TIE_RAPTOR_SQUADRON_HALF,Эскадрилья TIE «Раптор» 1/2
TEXT_TIE_RAPTOR_SQUADRON2,Эскадрилья TIE «Раптор» x2
TEXT_TIE_SENTINEL_SQUADRON,TIE Стражная эскадрилья
TEXT_TIE_SENTINEL_SQUADRON_HALF,TIE Стражная эскадрилья 1/2
TEXT_TIE_SENTINEL_SQUADRON2,TIE Дозорная эскадрилья x2
TEXT_TIE_STARVIPER_SQUADRON,Эскадрилья StarViper Mark 1
TEXT_TIE_STARVIPER_SQUADRON_HALF,StarViper Марк 1 эскадрилья 1/2
TEXT_TIE_STARVIPER_SQUADRON2,StarViper Mark 1 эскадрилья x2
TEXT_TIE_STARVIPER2_SQUADRON,Эскадрилья StarViper Mark 2
TEXT_TIE_STARVIPER2_SQUADRON_HALF,Эскадрилья StarViper Mark 2 1/2
TEXT_TIE_STARVIPER2_SQUADRON2,2 эскадрильи StarViper Mark 2 x2
TEXT_TIE_TERROR_SQUADRON,TIE Террористическая эскадрилья
TEXT_TIE_TERROR_SQUADRON_HALF,TIE Террористическая эскадрилья 1/2
TEXT_TIE_TERROR_SQUADRON2,TIE Террористическая эскадрилья x2
TEXT_TIE_V1_SQUADRON,Эскадрилья TIE V-1
TEXT_TIE_V1_SQUADRON_HALF,Эскадрилья TIE V-1 1/2
TEXT_TIE_V1_SQUADRON2,TIE Фау-1 эскадрилья x2
TEXT_TIE_X1_SQUADRON,Эскадрилья TIE X-1
TEXT_TIE_X1_SQUADRON_HALF,TIE X-1 эскадрилья 1/2
TEXT_TIE_X1_SQUADRON2,TIE X-1 эскадрилья x2
TEXT_TIE_X2_SQUADRON,Эскадрилья TIE X-2
TEXT_TIE_X2_SQUADRON_HALF,Эскадрилья TIE X-2 1/2
TEXT_TIE_X2_SQUADRON2,Эскадрилья TIE X-2 x2
TEXT_TIE_X3_SQUADRON,Эскадрилья TIE X-3
TEXT_TIE_X3_SQUADRON_HALF,Эскадрилья TIE X-3 1/2
TEXT_TIE_X3_SQUADRON2,Эскадрилья TIE X-3 x2
TEXT_TIE_X7_SQUADRON,Эскадрилья TIE X-7
TEXT_TIE_X7_SQUADRON_HALF,Эскадрилья TIE X-7 1/2
TEXT_TIE_X7_SQUADRON2,Эскадрилья TIE X-7 x2
TEXT_TOOLTIP_1H_TANK,Самый большой и прочный вариант линейки репульсорных танков Imperial, он также наиболее широко производился его производителем Ubrikkian Transports. Спортивное вооружение, которое по дальности и мощности могло конкурировать с артиллерией, а прочная броня позволяла ему выдерживать непрерывный огонь даже других тяжелых штурмовых машин. Громоздкие размеры и скорость 1-H означают, что эффективно управлять им могут только наиболее подготовленные и специализированные экипажи танков.
TEXT_TOOLTIP_1H_TANK_COMPANY,Рота: 2 репульсорных танка 1-H класса «Имперский»
TEXT_TOOLTIP_1H_TANK_HEALTH,Здоровье: 375
TEXT_TOOLTIP_1H_TANK_MOVE,Скорость: 1,5 | Терн: 2.0
TEXT_TOOLTIP_1H_TANK_WEAP1,1 тяжелая AV-бластерная пушка: 1/2,0 с/400 м
TEXT_TOOLTIP_1H_TANK_WEAP2,1x AV-бластерная пушка: 4/3,0 с/400 м
TEXT_TOOLTIP_1H_TANK_WEAP3,1 бластерная пушка ИИ: 4 / 1,0 с / 320 м
TEXT_TOOLTIP_1L_TANK,Экономичная версия стандартного имперского репульсорного танка, побочный продукт усилий полковника Зела Йоханса по стандартизации использования репульсорных машин Имперской Армией. Обычно экипаж состоит из двух стандартных армейских солдат под строгим контролем сержантов по комлинку. Без дорогой тяжелой пушки, предназначенной для стандартного гарнизонного танка, он не сможет противостоять равноправным машинам на поле боя, но взамен выигрывает в скорости и использовании против пехоты.
TEXT_TOOLTIP_1L_TANK_COMPANY,Рота: 4 репульсорных танка 1-L класса «Имперский»
TEXT_TOOLTIP_1L_TANK_HEALTH,Здоровье: 250
TEXT_TOOLTIP_1L_TANK_MOVE,Скорость: 2.0 | Терн: 4.0
TEXT_TOOLTIP_1L_TANK_WEAP1,1 бластерная пушка ИИ: 4 / 1,0 с / 320 м
TEXT_TOOLTIP_1M_TANK,Стандартный класс имперского репульсорного танка, призванный заменить устаревший FireHawke. У него есть дополнительное основное оружие по сравнению с 1-L, которое значительно увеличивает эффективную огневую мощь. Будучи «средним» для своего класса с точки зрения прочности, 1-М представляет опасность для пехоты, техники и даже более крупных бронетанковых подразделений в тандеме с другими танками. Любимец полевых офицеров взводов за четкое командование своими частями.
TEXT_TOOLTIP_1M_TANK_COMPANY,Рота: 3 репульсорных танка 1-М класса «Имперский»
TEXT_TOOLTIP_1M_TANK_HEALTH,Здоровье: 325
TEXT_TOOLTIP_1M_TANK_MOVE,Скорость: 1,75 | Терн: 3.0
TEXT_TOOLTIP_1M_TANK_WEAP1,1 тяжелая AV-бластерная пушка: 1/2,0 с/400 м
TEXT_TOOLTIP_1M_TANK_WEAP2,1 бластерная пушка ИИ: 4 / 1,0 с / 320 м
TEXT_TOOLTIP_2M_CHERI_REPULSORTANK,Танк-репульсор 2-M Cheri, производный от Empire of Hand, более изящный и уменьшенный в размерах по сравнению со своим имперским аналогом. Его роль на поле боя имитирует Imperial 2-M, при этом 2-M Cheri может плавно перемещаться по полю боя и покидать его. Он вооружен целенаправленным противотранспортным оружием, что делает его наиболее подходящим для преследования вражеских транспортных средств и отступления, если он находится под слишком сильным давлением.
TEXT_TOOLTIP_2M_CHERI_REPULSORTANK_COMPANY,Рота: 4x 2-M Cheri Repulsortank
TEXT_TOOLTIP_2M_CHERI_REPULSORTANK_HEALTH,Здоровье: 200
TEXT_TOOLTIP_2M_CHERI_REPULSORTANK_MOVE,Скорость: 2,5 | Терн: 2.0
TEXT_TOOLTIP_2M_CHERI_REPULSORTANK_SHIELD,Щиты: 50 /
TEXT_TOOLTIP_2M_CHERI_REPULSORTANK_WEAP1,1x AV-бластерная пушка: 2/2,0 с/400 м
TEXT_TOOLTIP_2M_CHERI_REPULSORTANK_WEAP2,2 ракеты «Протон»: 2/15,0 с/320 м
TEXT_TOOLTIP_2M_REPULSOR,Преемник танков серии TX-130, который отказался от роли «танка-истребителя» в пользу более традиционной конструкции и использования. Фронтальное вооружение заменено более традиционной башней, а корпус стал более усиленным по сравнению с более ранними моделями. Он более живуч и мобилен, чем многие варианты средних танков, с разнообразным вооружением.
TEXT_TOOLTIP_2M_REPULSOR_COMPANY,Рота: 3 танка-репульсора 2-М
TEXT_TOOLTIP_2M_REPULSOR_HEALTH,Здоровье: 250
TEXT_TOOLTIP_2M_REPULSOR_MOVE,Скорость: 2,5 | Терн: 2.0
TEXT_TOOLTIP_2M_REPULSOR_SHIELD,Щиты: 100 /
TEXT_TOOLTIP_2M_REPULSOR_WEAP1,1x AV-бластерная пушка: 1/2,0 с/320 м
TEXT_TOOLTIP_2M_REPULSOR_WEAP2,1 легкая бластерная пушка ИИ: 6 / 1,0 с / 280 м
