TEXT_2_WARPOD_SQUADRON,#2 Эскадрилья боевых капсул
TEXT_TOOLTIP_CLOUDCAR_WEAP1,1 тяжелая бластерная пушка ИИ: 6 / 1,0 с / 400 м
TEXT_TOOLTIP_COMMAND_AGRELCU_HAALTA,Убриккский крейсер из Агрелку Хаа
TEXT_TOOLTIP_COMMAND_DEMOLISHER,Модифицированный звездный разрушитель «Гладиатор-I», «Разрушитель»
TEXT_TOOLTIP_COMMAND_FIRESPRAY,Патрульный корабль Firespray-31
TEXT_TOOLTIP_COMMAND_FREEJACK,Канонерская лодка ИПВ-1, Фриджек
TEXT_TOOLTIP_COMMAND_HARMZUAY,Линейный крейсер Калот, Хармзуай
TEXT_TOOLTIP_COMMAND_HOUNDSTOOTH,Модифицированный легкий грузовой корабль YV-666 «Hound's Tooth»
TEXT_TOOLTIP_COMMAND_IMRU_OOTMIAN,Легкая яхта «Менестрел», Имру Отмиан
TEXT_TOOLTIP_COMMAND_LOOSE_CANNON,Фрегат DP20, свободная пушка
TEXT_TOOLTIP_COMMAND_LORDA,Джувард Фрегат лорда Дома Тома
TEXT_TOOLTIP_COMMAND_NAL_HUTTA_JEWEL,Тяжелая яхта Менестреля, Самоцвет Нал Хатта
TEXT_TOOLTIP_COMMAND_POTALA_UM_VAR,Кастомный линейный крейсер, Потала Ум Вар
TEXT_TOOLTIP_COMMAND_PROSPEROUS_SECRET,Raka Freighter, Секрет процветания
TEXT_TOOLTIP_COMMAND_PUNISHINGONE,JumpMaster 5000, Карающий
TEXT_TOOLTIP_COMMAND_PURSUER,Корабль преследователей
TEXT_TOOLTIP_COMMAND_REDOUBT,Звездный разрушитель «Венатор», Редут
TEXT_TOOLTIP_COMMAND_RIGHTFUL_DOMINION,Разрушитель Вонтора, Законный Доминион
TEXT_TOOLTIP_COMMAND_SABLE_III,Модифицированный корвет CR90, Sable III
TEXT_TOOLTIP_COMMAND_SAVRIP,Крейсер-мародёр, Саврип
TEXT_TOOLTIP_COMMAND_SLAGORTH,Космический звездный крейсер ARC, Галдар
TEXT_TOOLTIP_COMMAND_SLAVE_ONE,Модифицированный патрульный корабль Firespray-31, «Раб I»
TEXT_TOOLTIP_COMMAND_SMOKESWIMMER,Корвет CR90, Дымчатый пловец
TEXT_TOOLTIP_COMMAND_STRIKEFAST,Звездный разрушитель «Победа-II», «Ударный фаст»
TEXT_TOOLTIP_COMMAND_SWEET_VICTORY,Крейсер-мародёр, Сладкая победа
TEXT_TOOLTIP_COMMAND_TANTIVE_IV,Модифицированный корвет CR90, Tantive IV
TEXT_TOOLTIP_COMMAND_TARNTAS_FANG,Корвет CR90, Клык Тарнты
TEXT_TOOLTIP_COMMAND_TEMPEST,Модифицированный крейсер Tempest, Tempest
TEXT_TOOLTIP_COMMAND_VANGAR,Таможенный легкий корвет, Охотничий Трибидор
TEXT_TOOLTIP_COMMAND_VULTURE,Мародер Крейсер, Стервятник
TEXT_TOOLTIP_COMMAND_YTOBBA,Крейсер Саджин, И'Тобба
TEXT_TOOLTIP_COMMANDER_ARMORED_HUTT_HEALTH,Здоровье: 150
TEXT_TOOLTIP_COMMANDER_MINOR_SHELL_HUTT,Здоровье: 150
TEXT_TOOLTIP_CORELLIAN_CORVETTE,Корвет CR90, обычно называемый кореллианским корветом или блокадным прорывателем, также известный как крейсер Альдераана, был небольшим многоцелевым крупным кораблем, произведенным Кореллианской инженерной корпорацией. Он стал популярен среди многих правительств и частных организаций благодаря своей универсальной модульной конструкции, позволяющей легко заменять различные огневые точки.
TEXT_TOOLTIP_CORELLIAN_CORVETTE_HERO_PD,Точечная защита: 1 / 0,35 с / 1,6 км.
TEXT_TOOLTIP_CORELLIAN_CORVETTE_HERO_WEAP1,2 тяжелые счетверенные скоростные лазерные пушки: 6/5,0 с/4,0 км
TEXT_TOOLTIP_CORELLIAN_CORVETTE_HULL,Корпус: 500
TEXT_TOOLTIP_CORELLIAN_CORVETTE_MOVE,Скорость: 7,0 | Ускорение: 0,3 | Поворот: 0,65
TEXT_TOOLTIP_CORELLIAN_CORVETTE_PD,Точечная защита: 1 / 0,38 с / 1,6 км.
TEXT_TOOLTIP_CORELLIAN_CORVETTE_SHIELD,Щиты: 500 /
TEXT_TOOLTIP_CORELLIAN_CORVETTE_WEAP1,2 тяжелые двойные скоростные лазерные пушки: 6/5,0 с/4,0 км
TEXT_TOOLTIP_CORELLIAN_CORVETTE_WEAP2,4 средние скоростные лазерные пушки: 6/5,0 с/3,5 км
TEXT_TOOLTIP_CORELLIAN_CORVETTE_X_SQUADRON,Бойцы: 0,5/0
TEXT_TOOLTIP_CORELLIAN_GUNBOAT,Фрегат DP20, или Кореллианский боевой корабль, был одним из немногих специализированных проектов военных кораблей, созданных Кореллианской инженерной корпорацией для республиканского флота, и был наиболее распространенным представителем линейки кореллианских боевых кораблей. Несмотря на небольшой и компактный размер, он был быстрым и обладал большой огневой мощью для корабля такого размера и класса, используя пассажирское пространство, обычное для других проектов CEC, для дополнительных боевых систем.
TEXT_TOOLTIP_CORELLIAN_GUNBOAT_HULL,Корпус: 450
TEXT_TOOLTIP_CORELLIAN_GUNBOAT_MOVE,Скорость: 6,65 | Ускорение: 0,25 | Поворот: 0,65
TEXT_TOOLTIP_CORELLIAN_GUNBOAT_SHIELD,Щиты: 500 /
TEXT_TOOLTIP_CORELLIAN_GUNBOAT_WEAP1,3 легких двойных турболазера: 2 / 5,0 с / 5,0 км
TEXT_TOOLTIP_CORELLIAN_GUNBOAT_WEAP2,2 легкие счетверенные лазерные пушки: 2/5,0 с/3,5 км
TEXT_TOOLTIP_CORELLIAN_GUNBOAT_WEAP3,2 легкие ударные ракеты: 1/3,33 с/4,0 км
TEXT_TOOLTIP_CORSEC_TROOPER,Кореллианская линейная пехота, служащая передовыми солдатами КорБеза против гражданских беспорядков и защитниками от внешнего вторжения. Их стандартное снаряжение производится в основном местными кореллианскими производителями, от 611 Combat Armor до бластеров CDEF от Corellian Arms. Снаряжение ионной поддержки также является более значительной частью их арсенала по сравнению с большей частью пехотного арсенала. Хотя их боевой дух в зонах активных боевых действий не является исключительным из-за того, что они служат в основном в качестве секторальных миротворцев, универсальное оснащение солдат КорБезопасности и высокая численность делают их глупыми, если их недооценивать.
TEXT_TOOLTIP_CORSEC_TROOPER_COMPANY,Компания: 48 солдат КорБезопасности
TEXT_TOOLTIP_CORSEC_TROOPER_COMPANY_WEAP1,20 бластерных винтовок: 1/1,0 с/240 м
TEXT_TOOLTIP_CORSEC_TROOPER_COMPANY_WEAP2,20 бластерных карабинов: 3/1,25 с/220 м
TEXT_TOOLTIP_CORSEC_TROOPER_COMPANY_WEAP3,8 ионных винтовок: 1/3,0 с/220 м
TEXT_TOOLTIP_CORSEC_TROOPER_COMPANY_WEAP4,6 ионных гранат: 1/15,0 с/200 м
TEXT_TOOLTIP_CORSEC_TROOPER_COMPANY_WEAP5,6 звуковых гранат: 1/15,0 с/200 м
TEXT_TOOLTIP_CORSEC_TROOPER_HEALTH,Здоровье: 17
TEXT_TOOLTIP_CORSEC_TROOPER_LT_HEALTH,Здоровье: 23
TEXT_TOOLTIP_CORSEC_TROOPER_MOVE,Скорость: 1,0
TEXT_TOOLTIP_CORSEC_TROOPER_SGT_HEALTH,Здоровье: 20
TEXT_TOOLTIP_CORSEC_TROOPER_SQUAD,Отряд: 12 солдат КорБезопасности
TEXT_TOOLTIP_CORSEC_TROOPER_SQUAD1_WEAP1,10 бластерных карабинов: 3/1,25 с/220 м
TEXT_TOOLTIP_CORSEC_TROOPER_SQUAD1_WEAP2,2x ионная винтовка: 1/3,0 с/220 м
TEXT_TOOLTIP_CORSEC_TROOPER_SQUAD1_WEAP3,3 звуковых гранаты: 1/15,0 с/200 м
TEXT_TOOLTIP_CORSEC_TROOPER_SQUAD2_WEAP1,10 бластерных винтовок: 1/1,0 с/240 м
TEXT_TOOLTIP_CORSEC_TROOPER_SQUAD2_WEAP2,2x ионная винтовка: 1/3,0 с/220 м
TEXT_TOOLTIP_CORSEC_TROOPER_SQUAD2_WEAP3,6 ионных гранат: 1/15,0 с/200 м
TEXT_TOOLTIP_CORSEC_TROOPER_WEAP1,1 винтовка CDEF: 1/1,0 с/240 м
TEXT_TOOLTIP_CORSEC_TROOPER_WEAP2,1 карабин CDEF: 3/1,25 с/220 м
TEXT_TOOLTIP_CORSEC_TROOPER_WEAP3,1x DEMP-пушка: 1/3,0 с/220 м
TEXT_TOOLTIP_CORSEC_TROOPER_WEAP4,1 ионная граната: 1/15,0 с/200 м
TEXT_TOOLTIP_CORSEC_TROOPER_WEAP5,1 звуковая граната: 1/15,0 с/200 м
TEXT_TOOLTIP_CRIMSON_CONDOTTIERE_COMMANDER_HEALTH,Здоровье: 31
TEXT_TOOLTIP_CRIMSON_CONDOTTIERE_HEALTH,Здоровье: 29
TEXT_TOOLTIP_CRIMSON_CONDOTTIERE_MOVE,Скорость: 1,0
TEXT_TOOLTIP_CRIMSON_CONDOTTIERE_SQUAD_WEAP1,6 импульсно-волновых винтовок: 2/1,25 с/200 м
TEXT_TOOLTIP_CRIMSON_CONDOTTIERE_SQUAD_WEAP2,6 тепловых лучей: 12/5,00 с/200 м
TEXT_TOOLTIP_CRIMSON_CONDOTTIERE_WEAP1,1 импульсно-волновая винтовка: 2/1,25 с/200 м
TEXT_TOOLTIP_CRIMSON_CONDOTTIERE_WEAP2,1x тепловой луч: 12/5,00 с/200 м
TEXT_TOOLTIP_CUSTOMS_CORVETTE,Созданный для вторжения в рыночные ниши Кореллии в последние десятилетия существования Республики и известный тем, что использовался Имперской таможней, этот корабль предназначен для стыковки с торговыми грузовыми судами и транспортами для проведения обычного системного патрулирования и мониторинга торговых судов. Он не так долговечен, как некоторые чисто военные корабли-проверщики, но достаточно быстр и хорошо вооружен, чтобы выполнять свою роль в боевых действиях флота.
TEXT_TOOLTIP_CUSTOMS_CORVETTE_HULL,Корпус: 600
TEXT_TOOLTIP_CUSTOMS_CORVETTE_MOVE,Скорость: 7,0 | Ускорение: 0,3 | Поворот: 0,6
TEXT_TOOLTIP_CUSTOMS_CORVETTE_PD,Точечная защита: 1 / 0,32 с / 1,75 км.
TEXT_TOOLTIP_CUSTOMS_CORVETTE_PIRATE_WEAP1,2 двойных турболазера: 2/5,0 с/6,0 км
TEXT_TOOLTIP_CUSTOMS_CORVETTE_SHIELD,Щиты: 450 /
TEXT_TOOLTIP_CUSTOMS_CORVETTE_WEAP1,6 тяжелых двойных скоростных лазерных пушек: 6 / 5,0 с / 4,0 км
TEXT_TOOLTIP_DEFENSE_SATELLITE_LASER_HULL,Корпус: 2000 г.
TEXT_TOOLTIP_DEFENSE_SATELLITE_LASER_SHIELD,Щиты: 1000 /
TEXT_TOOLTIP_DEFENSE_SATELLITE_LASER_WEAP1,2 тяжелые лазерные пушки: 6 / 1,0 с / 5,5 км
TEXT_TOOLTIP_DEFENSE_SATELLITE_MISSILE_HULL,Корпус: 2000 г.
TEXT_TOOLTIP_DEFENSE_SATELLITE_MISSILE_SHIELD,Щиты: 1000 /
TEXT_TOOLTIP_DEFENSE_SATELLITE_MISSILE_WEAP1,1 штурмовая ударная ракета: 12/13,0 с/8,0 км
TEXT_TOOLTIP_DENGAR,Отвратительный охотник за головами, который продал бы кого угодно, если бы цена была подходящей. Денгар управляет «Карающим», модифицированным Jumpmaster 5000, вооруженным счетверенным лазером, ионной пушкой и торпедной установкой. У него нет камер хранения, поскольку Денгар предпочитает собирать свои цели мертвыми.
TEXT_TOOLTIP_DENGAR_CW_HEALTH,Здоровье: 130
TEXT_TOOLTIP_DENGAR_CW_WEAP1,1x Многозарядный бластер DLT-18: 5/1,0 с/280 м
TEXT_TOOLTIP_DENGAR_HEALTH,Здоровье: 200
TEXT_TOOLTIP_DENGAR_MOVE,Скорость: 1,0
TEXT_TOOLTIP_DENGAR_WEAP1,1 бластерная винтовка Валкен-38: 1/3,0 с/320 м
TEXT_TOOLTIP_DENN_WESSEX,Денн Уэссекс отличился в битве при Боз-Пити и стал одним из первых моффов. Он женился на Лире Блиссекс, знаменитом инженере, которая воспользовалась влиянием Денн для продвижения своего проекта «Император». Уэссекс стал гранд-моффом сверхсектора Релгим под властью Империи.
TEXT_TOOLTIP_DESTROYER_DROID_MK1_HEALTH,Здоровье: 25
TEXT_TOOLTIP_DESTROYER_DROID_MK1_MOVE,Скорость: 2.0 | Ход: 15
TEXT_TOOLTIP_DESTROYER_DROID_MK1_P,Первая экспортная модель экранированного боевого дроида, используемая Торговой федерацией, Конфедерацией независимых систем и другими группировками. Дроиды-разрушители, которых боятся самые сильные бойцы, быстры, выносливы и хорошо вооружены.
TEXT_TOOLTIP_DESTROYER_DROID_MK1_P_COMPANY,Компания: 12 дроидов-разрушителей серии P
TEXT_TOOLTIP_DESTROYER_DROID_MK1_P_WEAP1,1 легкая бластерная пушка ИИ: 2/0,5 с/240 м
TEXT_TOOLTIP_DESTROYER_DROID_MK1_Q,Последняя из основной линейки Droideka военного времени, серия Q включает в себя как высокую прочность щита, так и улучшенное вооружение предыдущих моделей по еще более высокой индивидуальной цене. Это более ограниченная, но мощная версия.
TEXT_TOOLTIP_DESTROYER_DROID_MK1_Q_COMPANY,Компания: 10 дроидов-разрушителей серии Q
TEXT_TOOLTIP_DESTROYER_DROID_MK1_SHIELD,Щиты: 50 /
TEXT_TOOLTIP_DESTROYER_DROID_MK1_W,Вторая экспортная модель серии Droideka, адаптированная для более эффективной с точки зрения логистики роли на поле боя. Преобладание нападения над защитой, сила щита принимает удар, а мощность оружия увеличивается по сравнению с предыдущими сериями.
TEXT_TOOLTIP_DESTROYER_DROID_MK1_W_COMPANY,Компания: 12 дроидов-разрушителей серии W
TEXT_TOOLTIP_DESTROYER_DROID_MK1_W_SHIELD,Щиты: 25 /
TEXT_TOOLTIP_DESTROYER_DROID_MK1_WEAP1,1 бластерная пушка ИИ: 2/0,5 с/240 м
TEXT_TOOLTIP_DESTROYER_DROID_MK2,«Боевая» версия дроидеки, эта версия вооружена дополнительным оружием, включая ионные пушки для использования против транспортных средств. Разработанный в конце Войн клонов, он не был построен в достаточном количестве, чтобы оказать влияние на конфликт, но позже снова стал использоваться преступными группировками.
TEXT_TOOLTIP_DESTROYER_DROID_MK2_COMPANY,Компания: 8 разрушителей дроидов-II
TEXT_TOOLTIP_DESTROYER_DROID_MK2_HEALTH,Здоровье: 35
TEXT_TOOLTIP_DESTROYER_DROID_MK2_MOVE,Скорость: 2,25 | Терн: 15,5
TEXT_TOOLTIP_DESTROYER_DROID_MK2_SHIELD,Щиты: 60 /
TEXT_TOOLTIP_DESTROYER_DROID_MK2_WEAP1,3 легкие бластерные пушки ИИ: 2 / 1,0 с / 240 м
TEXT_TOOLTIP_DESTROYER_DROID_MK2_WEAP2,1 ионная пушка: 3/3,0 с/240 м
TEXT_TOOLTIP_DORBULLA,Дор'булла, один из самых редких и впечатляющих боевых кораблей, используемых хаттами, является огромным символом их мощи. Предназначенный для борьбы со все более распространенными корпоративными и правительственными линейными крейсерами, разработанными в конце правления Галактической Республики, он может выдержать ошеломляющее наказание даже для своих размеров.
TEXT_TOOLTIP_DORBULLA_HULL,Корпус: 45900
TEXT_TOOLTIP_DORBULLA_MOVE,Скорость: 2,8 | Ускорение: 0,075 | Поворот: 0,15
TEXT_TOOLTIP_DORBULLA_SHIELD,Щиты: 30000 /
TEXT_TOOLTIP_DORBULLA_SQUADRON,Истребители: 4 / 12 | Бомбардировщики: 1 / 3
TEXT_TOOLTIP_DORBULLA_WEAP1,12 тяжелых двойных турболазеров: 2/2,5 с/7,8 км
TEXT_TOOLTIP_DORBULLA_WEAP2,18 средних турболазеров: 2/2,0 с/6,8 км
TEXT_TOOLTIP_DORBULLA_WEAP3,8 тяжелых двойных ионных пушек: 2/2,5 с/7,8 км
TEXT_TOOLTIP_DORBULLA_WEAP4,4 штурмовые ударные ракеты: 4/10,0 с/7,8 км
TEXT_TOOLTIP_DORBULLA_WEAP5,4 ударные ракеты: 4/10,0 с/4,8 км
TEXT_TOOLTIP_DREADNAUGHT,Требуемый экипажу, но прочный крейсер, созданный за много десятилетий до Войн клонов. Эта конструкция породила бесчисленное множество вариантов и на сегодняшний день в той или иной степени использовалась каждым галактическим правительством, оставаясь подходящим, хотя и устаревшим, военным кораблем. Эти модели могут похвастаться дополнительными ионными пушками и модернизированной основной турболазерной батареей.
TEXT_TOOLTIP_DREADNAUGHT_CARRIER,Вариант Дредноута, серьезно переоборудованный для борьбы с пиратством, с респектабельными ангарами, при этом сохраняющий противокорабельное вооружение на уровне запасов за счет вспомогательного вооружения. Первоначально сделанный Республиканским судебным департаментом, он оставался довольно необычным по сравнению с другими модификациями военно-морского флота.
TEXT_TOOLTIP_DREADNAUGHT_CARRIER_HULL,Корпус: 2120
TEXT_TOOLTIP_DREADNAUGHT_CARRIER_SHIELD,Щиты: 2000 /
TEXT_TOOLTIP_DREADNAUGHT_CARRIER_SQUADRON,Истребители: 1 / 1 | Бомбардировщики: 1 / 2
TEXT_TOOLTIP_DREADNAUGHT_CARRIER_WEAP2,2 тяжелые счетверенные лазерные пушки: 2/1,67 с/4,6 км
TEXT_TOOLTIP_DREADNAUGHT_CARRIER_WEAP3,1 тяжелая лазерная пушка: 2/1,67 с/4,6 км
TEXT_TOOLTIP_DREADNAUGHT_EMPIRE,Требуемый экипажу, но прочный крейсер, созданный за много десятилетий до Войн клонов. Эта конструкция породила бесчисленное множество вариантов и на сегодняшний день в той или иной степени использовалась каждым галактическим правительством, оставаясь подходящим, хотя и устаревшим, военным кораблем. В этой модели значительно усилен турболазерный огонь, который модернизирует или заменяет другое оружие.
TEXT_TOOLTIP_DREADNAUGHT_EMPIRE_HULL,Корпус: 2205
TEXT_TOOLTIP_DREADNAUGHT_EMPIRE_MOVE,Скорость: 3,85 | Ускорение: 0,175 | Терн: 0,375
TEXT_TOOLTIP_DREADNAUGHT_EMPIRE_SHIELD,Щиты: 2200 /
TEXT_TOOLTIP_DREADNAUGHT_EMPIRE_WEAP1,2 тяжелых двойных турболазера: 2/4,0 с/7,1 км
TEXT_TOOLTIP_DREADNAUGHT_EMPIRE_WEAP2,2 легких турболазера: 2/2,0 с/5,1 км
TEXT_TOOLTIP_DREADNAUGHT_EMPIRE_WEAP3,2 легкие счетверенные лазерные пушки: 2 / 0,5 с / 3,6 км
TEXT_TOOLTIP_DREADNAUGHT_EMPIRE_WEAP4,1 ударная ракета: 1/5,0 с/4,1 км
TEXT_TOOLTIP_DREADNAUGHT_GUNBOAT,Опасная конфигурация типичного класса «Дредноут Рендили», предназначенная для нанесения как можно большей огневой мощи на вражеские корабли, оснащенная полным турболазером. Требования к электропитанию ухудшают защиту до уровня, сравнимого с защитой класса Каррак. Эффективен против большинства кораблей, но не способен хорошо защититься от истребителей.
TEXT_TOOLTIP_DREADNAUGHT_GUNBOAT_HULL,Корпус: 2170
TEXT_TOOLTIP_DREADNAUGHT_GUNBOAT_MOVE,Скорость: 3,15 | Ускорение: 0,125 | Терн: 0,375
TEXT_TOOLTIP_DREADNAUGHT_GUNBOAT_SHIELD,Щиты: 1200 /
TEXT_TOOLTIP_DREADNAUGHT_GUNBOAT_WEAP1,2 средних турболазера: 2/2,0 с/6,1 км
TEXT_TOOLTIP_DREADNAUGHT_GUNBOAT_WEAP2,2 легких счетверенных турболазера: 2 / 1,0 с / 5,1 км
TEXT_TOOLTIP_DREADNAUGHT_GUNBOAT_WEAP3,2 легкие счетверенные лазерные пушки: 2 / 0,5 с / 3,6 км
TEXT_TOOLTIP_DREADNAUGHT_HULL,Корпус: 2200
TEXT_TOOLTIP_DREADNAUGHT_LASERS,Требуемый экипажу, но прочный крейсер, созданный за много десятилетий до Войн клонов. Это более старый вариант, больше подходящий для патрулирования, чем для боя с современными военными кораблями, из-за обширного лазерного пушечного вооружения и ограниченного количества турболазеров.
TEXT_TOOLTIP_DREADNAUGHT_LASERS_HULL,Корпус: 2200
TEXT_TOOLTIP_DREADNAUGHT_LASERS_MOVE,Скорость: 3,85 | Ускорение: 0,175 | Терн: 0,375
TEXT_TOOLTIP_DREADNAUGHT_LASERS_SHIELD,Щиты: 2000 /
TEXT_TOOLTIP_DREADNAUGHT_LASERS_WEAP1,2 средних турболазера: 2/2,0 с/6,1 км
TEXT_TOOLTIP_DREADNAUGHT_LASERS_WEAP2,2 тяжелые лазерные пушки: 2 / 1,0 с / 4,6 км
TEXT_TOOLTIP_DREADNAUGHT_LASERS_WEAP3,2 легкие счетверенные лазерные пушки: 2 / 0,5 с / 3,6 км
TEXT_TOOLTIP_DREADNAUGHT_MOVE,Скорость: 3,85 | Ускорение: 0,175 | Терн: 0,375
TEXT_TOOLTIP_DREADNAUGHT_SHIELD,Щиты: 2000 /
TEXT_TOOLTIP_DREADNAUGHT_SQUADRON,Бойцы: 0,5/0,5
TEXT_TOOLTIP_DREADNAUGHT_WEAP1,2 тяжелых двойных турболазера: 2/4,0 с/7,1 км
TEXT_TOOLTIP_DREADNAUGHT_WEAP2,2 средние ионные пушки: 2/2,0 с/6,1 км
TEXT_TOOLTIP_DREADNAUGHT_WEAP3,2 тяжелые лазерные пушки: 2 / 1,0 с / 4,6 км
TEXT_TOOLTIP_DREADNAUGHT_WEAP4,2 легкие счетверенные лазерные пушки: 2 / 0,5 с / 3,6 км
TEXT_TOOLTIP_DREDNAR,После скучной карьеры на торговом корабле Дреднар присоединился к Карну Гранзору, когда пират поднялся на борт его грузового корабля. Дреднар научился бою и командованию у Гранзора, но не только он возмущался накопленной добычей и отсутствием стиля капитана. Он и несколько других мятежников воспользовались шансом уйти, приобрести собственное судно и победить Гранзора. Дреднар впоследствии стал успешным и ярким разбойником, основанным на Таралоне, отказавшись от кибернетического глаза в пользу «пиратского эффекта» своего патча. Его любимой тактикой поиска добычи было создание искусственных ледяных астероидов на торговых путях, чтобы вытеснять корабли из гиперпространства.
TEXT_TOOLTIP_DREDNAR_ION,1 средняя ионная пушка: 2/3,0 с.
TEXT_TOOLTIP_DREDNAR_SQUADRON,Бойцы: 1 / 0
TEXT_TOOLTIP_DRK1_PROBE_DROID,Дроид-разведчик DRK-1, разработанный компанией «Аракид Индастриз», представлял собой небольшой сферический автомат, оснащенный сложными сенсорными и коммуникационными пакетами. Конструкция восходит к ранним моделям ситхских дроидов-разведчиков, основанным на схемах, предоставленных ситхскими голокронами.
TEXT_TOOLTIP_DUNELIZARD_FIGHTER,Разработанный MandalMotors для Империи в первые годы его существования, проект Dunelizard был отклонен для военной службы, поскольку считался дорогим и недостаточно мощным. Вместо этого он нашел место среди хаттов Каджидиков и различных пиратских группировок, которым нравилась его суровая природа. «Дюнелизард» — это корабль, который можно легко модифицировать; этот вариант оснащен пулеметными пушками и пусковыми установками для протонных торпед.
TEXT_TOOLTIP_DUNELIZARD_INTERCEPTOR,Один из проектов истребителей MandalMotors, первоначально созданный между Войнами клонов и Галактической гражданской войной по заказу картелей хаттов. Основанный на M3-A Scyk, Dunelizard спроектирован так, чтобы быть более бронированным, не жертвуя при этом маневренностью, на которую полагаются пилоты хаттов. В результате получился мускулистый средний истребитель, который легко настраивается, с базовым вооружением, оснащенным соединенными лазерными пушками.
TEXT_TOOLTIP_DWARF_SPIDER_DROID,Карликовый дроид-паук прошел путь от наказания уклоняющихся от уплаты налогов Коммерческой гильдии до основной платформы огневой поддержки в СНГ, когда начались Войны клонов. Дроид оказался чрезвычайно способным выслеживать солдат-клонов и их технику. Позже Империя также приняла DSD, чтобы помочь контролировать миры бывших сепаратистов и восполнить истощающуюся рабочую силу Империи после десятилетий войны.
TEXT_TOOLTIP_DWARF_SPIDER_DROID_COMPANY,Компания: 16 карликовых дроидов-пауков
TEXT_TOOLTIP_DWARF_SPIDER_DROID_HEALTH,Здоровье: 45
TEXT_TOOLTIP_DWARF_SPIDER_DROID_MOVE,Скорость: 0,9
TEXT_TOOLTIP_DWARF_SPIDER_DROID_SQUAD,Отряд: 4 карликовых дроида-паука
TEXT_TOOLTIP_DWARF_SPIDER_DROID_WEAP1,1 AV-бластерная пушка: 1/2,0 с/280 м
TEXT_TOOLTIP_ELITE_MERCENARY_COMPANY_WEAP1,12 тяжелых многозарядных бластеров: 5 / 1,0 с / 280 м.
TEXT_TOOLTIP_ELITE_MERCENARY_COMPANY_WEAP2,6 пулеметных снайперских винтовок: 1/3,0 с/320 м
TEXT_TOOLTIP_ELITE_MERCENARY_COMPANY_WEAP3,6 легких противовоздушных ракетных установок: 1/9,0 с/280 м
TEXT_TOOLTIP_ELITE_MERCENARY_HEALTH,Здоровье: 24
TEXT_TOOLTIP_ELITE_MERCENARY_LEADER_HEALTH,Здоровье: 27
TEXT_TOOLTIP_ELITE_MERCENARY_SHIELD,Щиты: 12 /
TEXT_TOOLTIP_ELITE_MERCENARY_SQUAD1_WEAP1,4 тяжелых многозарядных бластера: 5 / 1,0 с / 280 м.
TEXT_TOOLTIP_ELITE_MERCENARY_SQUAD1_WEAP2,2 легкие AV-ракетные установки: 1/9,0 с/280 м
TEXT_TOOLTIP_ELITE_MERCENARY_SQUAD2_WEAP1,6 пулеметных снайперских винтовок: 1/3,0 с/320 м
TEXT_TOOLTIP_ELITE_MERCENARY_WEAP1,1x Многозарядный бластер DLT-18: 5/1,0 с/280 м
TEXT_TOOLTIP_ELITE_MERCENARY_WEAP2,1 пулеметная винтовка «Авантюрист»: 1/3,0 с/320 м
TEXT_TOOLTIP_ELITE_MERCENARY_WEAP3,1x пусковая установка РПС-6: 1/9,0 с/280 м
TEXT_TOOLTIP_ESCORT_ARMORED_HUTT,4 отряда воинов бронированных хаттов
TEXT_TOOLTIP_ESCORT_AYCEN1,2 крейсерские эскадрильи Цитадели
TEXT_TOOLTIP_ESCORT_GAMORREAN_GUARD,4 отряда гаморреанской стражи
TEXT_TOOLTIP_ESCORT_GEVTES,1 взвод солдат Сил обороны
TEXT_TOOLTIP_ESCORT_GUARDIANCORPS,4 отряда Корпуса стражей
TEXT_TOOLTIP_ESCORT_HUTT_GUARD,6 отрядов стражей хаттов
TEXT_TOOLTIP_ESCORT_MINOR_SHELL_HUTT,2 малых отряда хаттов-ракушек
TEXT_TOOLTIP_ESCORT_RENTHAL2,1 таможенный легкий корвет
TEXT_TOOLTIP_ESCORT_TARGRIM,3x/5x Фрегат-перехватчик IV
TEXT_TOOLTIP_ESCORT_THALASSIAN,3 патрульных корабля ИПВ-1
TEXT_TOOLTIP_ESCORT_VEILED_QUEEN2,2 фрегата-перехватчика IV
TEXT_TOOLTIP_ESCORT_VEILED_QUEEN3,1 крейсерская эскадрилья Цитадели
TEXT_TOOLTIP_ESCORT_ZAN_DANE1,1x Корвет CR90
TEXT_TOOLTIP_ESCORT_ZAN_DANE2,2 крейсерская эскадрилья Гозанти
TEXT_TOOLTIP_ESPO_WALKER,Полезная патрульная и защитная машина на различной местности, Espo Walker дает одному офицеру огневую мощь целого отделения. Несмотря на то, что модель 101 Walker дорогая и требует сложного обслуживания, она становится все более распространенным явлением на территории CSA.
TEXT_TOOLTIP_ESPO_WALKER_COMPANY,Компания: 6x Espo Walker 101
TEXT_TOOLTIP_ESPO_WALKER_EARLY,Полезная патрульная и защитная машина на различной местности, M-91 Military Walker дает одному офицеру огневую мощь целого отделения. Espo Walker наиболее известен своими переоборудованиями для борьбы с беспорядками в корпоративном секторе. Это более ранняя модель, чем более распространенная серия -101.
TEXT_TOOLTIP_ESPO_WALKER_EARLY_COMPANY,Рота: 6 военных шагоходов М-91
TEXT_TOOLTIP_ESPO_WALKER_EARLY_HEALTH,Здоровье: 100
TEXT_TOOLTIP_ESPO_WALKER_EARLY_MOVE,Скорость: 1,5 | Терн: 6.0
TEXT_TOOLTIP_ESPO_WALKER_EARLY_WEAP1,1 легкая бластерная пушка ИИ: 2 / 0,5 с / 320 м
